ID Producto,ID Combinacion,Nombre del Producto,Referencia,EAN,"Atributos (Ej: XL, Roja)",Stock
9690,0,Rifle CVA Rimfire .22LR XT Cerakote,,,,3
9689,0,Rifle CVA Rimfire .22LR CLASSIC madera,,,,6
9688,0,Rifle CVA Rimfire .22LR BASIC,,,,6
9687,14550,Visor Swarovski Optik Z6i 1‑6x24,,,"1-6X24, 4A-I, DE CARRIL ",1
9687,14551,Visor Swarovski Optik Z6i 1‑6x24,,,"1-6X24, 4A-I, DE ANILLAS ",2
9686,14504,Multiherramienta Leatherman Skeletool RX,832310,37447212871,Rojo,1
9685,14503,Rifle Bergara Timber(PL),,,300,1
9684,14501,Carabina Bergara BRM Steel(PL),,,22 LR,1
9683,0,Auriculares electrónicos tiro Beretta SNR 32 dB,CF111D004407Z2UNI,,,2
9682,0,Visor Zeiss 1-6x24 (PL),,,,1
9681,14496,Escopeta Browning Maxus 2 Wood Ultimate (PL),,,"12 , 71",1
9680,14494,Rifle Bergara Premier Cima Pro,,,308 win,1
9679,14479,Gorro Drain Blaser,80412001,4050091096532,"Oliva, U",1
9678,14474,Rifle Sako L691 (PL),,,"30-06, Cerrojo",1
9677,14473,Rifle CZ 550(PL),,,300,1
9676,14471,Escopeta Benelli M2(PL),,,"20, 66",1
9675,14469,Rifle Sauer 100(PL),,,300,1
9674,14468,Rifle Bergara B14 HMR(PL),,,"6,5 Creed",1
9673,0,Soporte cabeza Odra Cam Pro Bitrabi,OD-005,8435449404133,,1
9672,14465,Escopeta Benelli Montefeltro Extralight(PL),,,71,1
9671,14464,Escopeta Benelli Centro(PL),,,66,1
9670,14462,Rifle Blaser R8 Success(PL),,,7 mm,1
9669,14460,Escopeta Benelli Súper Ligera(PL),,,66,1
9668,14457,Rifle Blaser R8 Zurdo(SA),,,8X68S,1
9667,14456,Rifle Blaser R8(SA),,,270 wsm,1
9666,14454,Rifle Bergara Cima(SA),,,"6,5 PRC",1
9665,14453,Rifle Sauer 202(SA),,,300,1
9664,14451,Culata TSK para Beretta(SA),,,M,1
9663,14446,Rifle Baikal(SA),,,243,1
9662,14447,Rifle Browning X-Bolt(SA),,,300,1
9661,0,Bolso Transporte Garmin Astro Alfa,,753759111021,,1
9660,0,Paraguas Grande Blaser,80400715,,,0
9659,14443,Rifle Merkel Helix(PL),,,300 win ,1
9658,14439,Escopeta Browning Fusion Evolve(PL),,,"12 , 71",1
9657,14438,Rifle Sauer 90(PL),,,300,1
9656,0,Rifle Winchester Model 70 Safari(SA),,,,1
9655,14429,Buzo Hart Oakland-O2 Pixel Forest,XHODO2,,"38, Camo",1
9655,14430,Buzo Hart Oakland-O2 Pixel Forest,XHODO2,,"40, Camo",1
9655,14431,Buzo Hart Oakland-O2 Pixel Forest,XHODO2,,"42, Camo",1
9655,14432,Buzo Hart Oakland-O2 Pixel Forest,XHODO2,,"44, Camo",1
9655,14433,Buzo Hart Oakland-O2 Pixel Forest,XHODO2,,"46, Camo",1
