CODIGO,NOMBRE,NOMBRE PROVEEDOR,OBSERVACIONES,MEDIDA,CODIGO DE BARRAS,COD REFERENCIA
4826,ANILLA FINA CULATA,"EISPORT, SL",,,4826,4826
80204357,ANILLA MAUSER ACERO 30mm M03,"BLASER OUTDOOR GROUP, SL",,,80204357,80204357
000HMR034,ANILLA OCULAR HIKMICRO HABROK,"COMERCIAL EL CALDEN, SL",,,000HMR034,HM-R034
4822,ANILLA PARA CULATA,"EISPORT, SL",,,4822,
SAK324511,ANILLA SAKO TUBO 30MM MEDIA,"BERETTA BENELLI IBERICA, SA",,,SAK324511,
4828,ANILLA SUPERPUESTA FINA,"EISPORT, SL",,,4828,4828
9454443,ANILLA TRASERA APEL 30 BLUE LINE,"BORCHERS, SA",,,9454443,
SAK324509,ANILLA TUBO SAKO 30MM BAJA NEGRA,"BERETTA BENELLI IBERICA, SA",,,SAK324509,
B-VIS1804,ANILLAS B-VISION DESMONTABLES 4 TORNILLOS ALTA,"COMERCIAL EL CALDEN, SL",WEAVER Y PICANTINNY,30MM ALTA,"8,44E+12",BAT-009
B-VIS1798,ANILLAS B-VISION DESMONTABLES 4 TORNILLOS MEDIA,"COMERCIAL EL CALDEN, SL",WEAVER Y PICANTINNY,30MM MEDIA,"8,44E+12",BAT-008
00A05905,ANILLAS BERGARA DESMONTABLES VISOR D30 H8MM,"DIKAR, S. COOP",,,"8,41E+12",A05905
802310899,ANILLAS BLASER ALTURA 10.7 30 mm,"BLASER OUTDOOR GROUP, SL",,,802310899,80231089
80206501,ANILLAS BLASER ALTURA 4.2 30mm,"BLASER OUTDOOR GROUP, SL",,,80206501,80206501
80206500,ANILLAS BLASER ALTURA 7.2 30 mm,"BLASER OUTDOOR GROUP, SL",,,80206500,80206500
4950048,ANILLAS FIJA OPTIK ARMS 30 MM 6 TORNILLOS,"BORCHERS, SA",,,4950048,4950048
793676027,ANILLAS GAMO TS-300 (30MM ALTAS),"GAMO OUTDOOR, SL",,30MM ALTA,"7,94E+11",
793676014,ANILLAS GAMO TS-300 (30MM MEDIAS),"GAMO OUTDOOR, SL",,30MM MEDIA,"7,94E+11",
730003491,ANILLAS GIRATORIA FLUSH CUP BERGARA,"DIKAR, S. COOP",,,"8,41E+12",
273003064,ANILLAS GIRATORIAS QUAKE SISTEMA STALKER,"DIKAR, S. COOP",,,"8,41E+12",A04976
0000HT115,ANILLAS HALTEN ALUM MEDIAS 30MM,"ARCEA EUROSPORT, SL",,,0000HT115,
317011512,ANILLAS LEUPOLD BACKCOUNTRY 30 MM REM 700 ALTAS,"BORCHERS, SA",,,30317011512,4900032
317006471,ANILLAS LEUPOLD MARK 4 34MM ALTA ALUMINIO,"BORCHERS, SA",,,30317006471,4900512
4900222,ANILLAS LEUPOLD PRW2 30MM LOW,"BORCHERS, SA",,,4900222,4900222
LEUPO7835,ANILLAS LEUPOLD PRW2 30MM MEDIUM,"BORCHERS, SA",FIJAS,30MM MEDIAS,30317017835,174084
317017729,ANILLAS LEUPOLD PRW2 30mm FIJAS-ALTAS,"BORCHERS, SA",DESMONTABLES,30MM HIGH,30317017729,174085
4900228,ANILLAS LEUPOLD PRW2 34MM MEDIUM,"BORCHERS, SA",,,4900228,
30317494,ANILLAS LEUPOLD QR 30 MM HIGH,"BORCHERS, SA",DESMONTABLES,30MM HIGH,30317499334,49933
317499419,ANILLAS LEUPOLD QR 30 MM HIGH EXT,"BORCHERS, SA",,,30317499419,4900254
4900264,ANILLAS LEUPOLD QR 30MM SUPER HIGH,"BORCHERS, SA",,,4900264,4900264
30317490,ANILLAS LEUPOLD QR 30mm MEDIUM,"BORCHERS, SA",DESMONTABLES,30MM MEDIUM,30317499310,4900262
317517168,ANILLAS LEUPOLD QR 30mm SUPER HIGH,"BORCHERS, SA",,,30317517168,4900264
30317014,ANILLAS LEUPOLD QRW2 30MM HIGH,"BORCHERS, SA",DESMONTABLES,30MM HIGH,30317017804,4900356
303174,ANILLAS LEUPOLD QRW2 30MM LOW,"BORCHERS, SA",DESMONTABLES,30MM LOW,30317017774,174074
30312,ANILLAS LEUPOLD QRW2 30MM MEDIUM,"BORCHERS, SA",DESMONTABLES,30MM MEDIUM,30317017682,4900360
942000893,ANILLAS NIKKO STIRLING 30MM LOW,"BCN OUTDOOR, SL",FIJAS,30MM LOW,"9,42E+12",
942000890,ANILLAS NIKKO STIRLING 30MM MEDIUM,"BCN OUTDOOR, SL",FIJAS,30MM MEDIUM,"9,42E+12",
4950050,ANILLAS OPTIK ARMS ROLL-OFF CZ550 QR 30MM BH10,"BORCHERS, SA",,,4950050,4950050
4950042,ANILLAS PICATINNY 30MM QR BH 9,"BORCHERS, SA",,,4950042,
OPTIK0047,ANILLAS PICATINNY OPTIK ARMS 30MM. [FIJAS] - BH13,"BORCHERS, SA",,30MM,4950047,WR 30-S-13
OPTIK0049,ANILLAS PICATINNY OPTIK ARMS 30MM. [FIJAS] - BH18,"BORCHERS, SA",,30MM,4950049,WR 30-S-18
OPTIK0045,ANILLAS PICATINNY OPTIK ARMS 30MM. [FIJAS] - BH6,"BORCHERS, SA",,30MM,4950043,4950043
4950045,ANILLAS PICATINNY OPTIK ARMS 30MM. [FIJAS] - BH9,"BORCHERS, SA",,30MM,4950045,WR 30-S-9
4950040,ANILLAS PICATINNY OPTIK ARMS QR - BH6,"BORCHERS, SA",BH6,30MM,4950040,4950040
OPTIK0044,ANILLAS PICATINNY OPTIK ARMS QR 30MM - BH13,"BORCHERS, SA",BH13,30MM,4950044,4950044
OPTIK0046,ANILLAS PICATINNY OPTIK ARMS QR 30MM - BH18,"BORCHERS, SA",BH18,30MM,4950046,4950046
OPTIK0042,ANILLAS PICATINNY OPTIK ARMS QR 30Mm - BH09,"BORCHERS, SA",BH09,30MM,4950042,WR 30-QR-9
449403839,"ANILLAS PORTACORREAS B-VISION 1""""","COMERCIAL EL CALDEN, SL",,,"8,44E+12",BAT-060
449403846,"ANILLAS PORTACORREAS B-VISION 1,25"";0""",,,,BAT-061,
449403853,ANILLAS PORTACORREAS B-VISION QD CLIP,"COMERCIAL EL CALDEN, SL",,,"8,44E+12",BAT-062
SAK324512,ANILLAS SAKO TUBO 30MM ALTA,"BERETTA BENELLI IBERICA, SA",,,SAK324512,
4369916,"ANILLAS UNCLE MIKE´S 1-1/4"";0""",,,7000000000,,
43699149,"ANILLAS UNCLE MIKE´S TAMAÑO 1"";0""",,,7000000000,,
829101318,ANILLAS VORTEX PRO SERIES TUBO 30MM EXTRA HIGH,"BCN OUTDOOR, SL","EXTRA ALTO,JUEGO DE 2 ANILLAS",,"8,44E+11",PR30-XH
829101301,ANILLAS VORTEX PRO SERIES TUBO 30MM HIGH,"BCN OUTDOOR, SL","ALTAS,JUEGO DE 2 ANILLAS",,"8,44E+11",PR30-H
829101295,ANILLAS VORTEX PRO SERIES TUBO 30MM MEDIUM,"BCN OUTDOOR, SL","JUEGO DE 2 ANILLAS,MEDIAS",,"8,44E+11",PR30-M
74988,ANILLAS VORTEX PRO SERIES TUBO 34MM HIGH,"BCN OUTDOOR, SL","JUEGO DE 2,ALTAS",,"8,44E+11",PR34-H
829135054,ANILLAS VORTEX PRO SERIES TUBO 34MM MEDIUM,"BCN OUTDOOR, SL","JUEGO DE 2,MEDIAS",,"8,44E+11",PR34-M
4877220,"ANILLAS WARNE MAXIMA 1 [FIJAS] MEDIUM""","BORCHERS, SA",MEDIANAS,,4877220,4877220
813000241,"ANILLAS WARNE MAXIMA 1[FIJAS] HIGH""","BORCHERS, SA",,,"6,57E+11",202M
656813001,ANILLAS WARNE MAXIMA 214LM 30mm,"BORCHERS, SA",DESMONTABLE,30MM MED,"6,57E+11",4877490
656813003,ANILLAS WARNE MAXIMA 214M 30mm MEDIUM,"BORCHERS, SA",FIJA,30MM MED,"6,57E+11",214M
656813008,ANILLAS WARNE MAXIMA 215LM 30mm HIGH DESMONTABLE,"BORCHERS, SA",DESMONTABLE,30MM HIGH,"6,57E+11",4877520
656813000,ANILLAS WARNE MAXIMA 215M 30mm HIGH,"BORCHERS, SA",FIJA,30MM HIGH,"6,57E+11",215M
656813005,ANILLAS WARNE MAXIMA 216LM 30mm EXTRA HIGH,"BORCHERS, SA",DESMONTABLE,30MM EXTRA HIGH,"6,57E+11",216LM
656811,ANILLAS WARNE MAXIMA 216M 30mm EXTRA HIGH,"BORCHERS, SA",FIJA,30MM EXTRA HIGH,"6,57E+11",216M
4877540,ANILLAS WARNE MAXIMA 30MM ULTRA ALTAS DESMONTABLES,"BORCHERS, SA",,,4877540,217LM
813115068,ANILLAS WARNE MAXIMA HORIZONTAL 30MM HIGH QD,"BORCHERS, SA",ALTAS,,"6,57E+11",4879444
813115044,ANILLAS WARNE MAXIMA HORIZONTAL 30MM LOW QD,"BORCHERS, SA",BAJAS,,"6,57E+11",4879440
